ID,Name,NetWorth_Billions,x,y,z,vx,vy,vz,industries,connections,hue color value
1771,Luciano Hang,2.044641336,-0.5418097,-0.9717033,0.89541435,0.0,0.0,0.0,retail,,0.59320146
1772,Tibor Veres,2.044641336,0.62895584,0.7910259,1.070666,0.002055675126885007,0.02548684910822254,-0.0,investment/finance/real estate,369/1369/394/1450/221,1.5244248
1773,Kalanithi Maran,2.044641336,0.5836837,0.29169565,0.10789792,0.009658643418355203,0.009987995530235268,-0.0,media/entertainment,596,1.8096282
1774,Steven Schonfeld,2.044641336,-0.8512366,0.5651001,0.50666696,-0.016736497524115514,0.03063480598221633,0.0,hedge funds/finance,3139/115/452/34/70/120,1.5244248
1775,Brett Blundy,2.044641336,-0.46543178,0.4830212,-0.164886,-0.014863601040864455,-0.01956083519420031,0.0,ai/software/retail,129/1609/370,1.2647958
1776,Arne Alexander Wilhelmsen,2.044641336,0.32257268,1.5227562,1.2528664,-0.009826002911040917,0.025257518795589896,0.0,cruise ships,1777/62/1778/525,2.0013256
1777,Bent Wilhelmsen,2.044641336,-0.5672445,1.687541,1.1849654,-0.024734176689040724,-0.011077594162663485,0.0,cruise ships,1776/62/1778/525,2.0013256
1778,Peter Preben Wilhelmsen,2.044641336,0.22507273,1.8853464,0.88952553,-0.01970852113429409,0.018602870305854544,0.0,cruise ships,1776/1777/62/525,2.0013256
1779,Sylvia Stroeher,2.044641336,-0.22868913,0.6949803,1.1360793,0.001181295387715016,-0.009006583422272474,0.0,Cosmetics,2965/2480,1.8370435
1780,Lam Kong,2.044641336,0.77074224,0.33046934,-0.07765663,-0.00376063283594052,0.030659881081211177,0.0,healthcare/pharmaceuticals,1128/94/337/455/253/139,1.4115231
1781,Igor Makarov,2.044641336,-0.97242737,0.14889577,0.25896594,0.014028662439048543,-0.02501418045585423,0.0,investment/finance,3021/406/1142/1420/49/2553,1.5244248
1782,Enrique Coppel Luken,2.044641336,-0.76593906,0.22968602,-0.14169331,-0.0031381868146273736,-0.03236005152684918,0.0,Diversified,2506/2308/2307/20/2215,0.8902763
1783,Sheryl Sandberg,2.044641336,-1.2900498,0.97410643,-1.0762213,0.0353497678381734,0.01364378687639348,-0.0,social media/advertising/ai,1231/5,1.3075284
1784,Yoo Jung-hyun,2.044641336,1.3828297,1.4494922,-1.0743359,-0.028236355272505745,-0.014622151277398526,0.0,Online games,2671/2670/39/53,0.5171643
1785,Shi Yonghong & family,2.044641336,0.83003175,0.8032054,-0.26293465,-0.002402738384498913,0.01620671343861374,0.0,food/beverages,2413/1829/704,0.431557
1786,Dan Wilks,2.044641336,-0.56250525,0.5669961,-0.3636143,-0.01632586216542095,0.019581263193293973,0.0,energy/oil and gas,2039/134/373/713,1.2296851
1787,Sandeep Engineer,2.044641336,-0.22893506,0.69018924,0.35229814,0.0,0.0,0.0,Plastic pipes,1787,1.1799325
1788,Bob Ell,2.044641336,-1.0366637,0.5440649,-0.8748752,-0.00938440589829623,-0.024957417602490293,0.0,real estate,114/209/1111/1966,1.6829958
1789,Zhang Jian,2.044641336,1.2784938,0.98162794,-1.4308889,0.0,0.0,0.0,Electric bikes/scooters,,0.59856343
1790,Karl Knauf,2.044641336,1.2197111,1.4262135,-0.9901445,-0.003083907355856042,0.016733183521832038,0.0,Building materials,2295/1791/1792/1599/2570,1.0213703
1791,Christiane Knauf,2.044641336,-0.12077266,1.5545274,1.4800097,-0.015277401650361993,-0.007490721872311835,0.0,Building materials,2295/1792/1790/1599/2570,1.0213703
1792,Christine Knauf,2.044641336,-0.24571893,1.3749913,1.7503902,-0.008322236578930773,-0.01484083197395351,0.0,Building materials,2295/1791/1790/1599/2570,1.0213703
1793,Michael Ying,2.044641336,0.6664944,0.060721025,-0.23991936,0.015965280180869703,0.005329438390663095,-0.0,ai/software/retail,741/872,1.2647958
1794,Arnout Schuijff,1.959447947,-0.08462415,0.4230771,0.4791737,0.002917236167470329,-0.005849318408842808,0.0,software/cloud,2433,1.5939332
1795,Christopher Kwok,1.959447947,1.434135,0.33347285,-0.18115407,-0.020159028248159752,-0.006398274507803353,0.0,real estate,136,1.6829958
1796,Karl Scheufele III & family,1.959447947,-0.35781315,0.7620567,1.4751022,-0.003148045719249027,-0.016145440577940835,0.0,Jewelry,863/2516/1976/2852,1.8532145
1797,Steve Case,1.959447947,-1.3432174,0.5976051,0.67570496,-0.0028819236318260067,-0.02105596018700682,0.0,AOL,861/381/661,1.6779231
1798,Edward Kwok,1.959447947,1.2769324,0.17884055,-0.6860293,0.009065640266749784,-0.019108597623614196,0.0,real estate,136,1.6829958
1799,Ion Tiriac,1.959447947,0.31045955,0.55606467,0.5836179,0.0037661809494442286,0.005342347214555386,-0.0,finance,2435,1.5244248
1800,Dong Jinggui,1.959447947,0.98038566,1.282005,-1.4346726,0.004419773840188619,0.0019401609292299354,-0.0,Electric scooters,3291,1.8615718
1801,Joe Lacob,1.959447947,-1.1702769,1.0490133,-0.25820765,-0.012186356886379967,-0.036838631395849586,0.0,mining/materials,235/20/13/2689,0.8420775
1802,Ho Hung Anh,1.959447947,1.9589021,0.80858195,-0.035941124,-0.0042344254638255726,0.002316951924626754,0.0,finance,3211,1.5244248
1803,Michael Hsing,1.959447947,-1.0265117,0.7745509,-0.3624819,0.012536180301814163,-0.03677578088061969,0.0,semiconductors/hardware,656/50/6/1577,1.2610606
1804,Dermot Desmond,1.959447947,0.17776373,1.2699512,0.7524375,-0.01943279805667291,0.0030563654008340276,0.0,finance,498/414,1.5244248
1805,Bill Malhotra,1.959447947,-0.8119211,1.1777278,0.08357237,-0.017306071643202026,-0.01647265461445591,0.0,real estate,114/1111/1966,1.6829958
1806,Chen Qixing,1.959447947,1.1457353,0.18154919,-0.6036676,0.023562101558294805,-0.013109577726545776,0.0,electronics components,1307/1652/177/170/2787/720,0.5978548
1807,Todd Wagner,1.959447947,-1.5087278,1.6360599,0.193128,-0.013232118057318852,0.01088653751866308,0.0,media/entertainment,837/684,1.8096282
1808,Leslie Alexander,1.959447947,-0.87883544,0.84480083,0.28779107,-0.006930049167326191,0.015539766210246041,0.0,logistics/shipping/sports/entertainment,300,0.7081293
1809,Zhang Shilong & family,1.959447947,1.3917961,1.4635253,-0.57417893,-0.0194900760710923,-0.0053022611147081926,0.0,semiconductors/hardware,2346/908/2427/2338/796/2029,1.2610606
1810,Carlos March Delgado,1.959447947,0.08988199,0.5845514,0.64034307,-0.0026024306767137564,0.012528276378210827,0.0,finance,1906/1274,1.5244248
1811,Luis Enrique Yarur Rey,1.959447947,-1.3468347,-1.0296885,0.25999963,0.00903882962868588,-0.004108700739247144,0.0,finance,1274,1.5244248
1812,David Fong,1.959447947,1.2997154,0.43786454,-0.37592927,-0.022718936846672158,0.007395834930805229,0.0,real estate,114/1111/1966,1.6829958
1813,Phillip Frost,1.959447947,-0.6077682,0.5681521,0.1225353,-0.007486533851036609,-0.027557272289781123,0.0,healthcare/pharmaceuticals,94/1017/741/1901/139,1.4115231
1814,Daniel Lubetzky,1.959447947,-0.68226814,0.22248869,-0.04913166,0.0,0.0,0.0,Snack bars,,1.791822
1815,Tim Draper,1.959447947,-1.0240952,0.4654191,-0.6162369,0.007528097161345764,-0.03732446671110997,0.0,cryptocurrency/fintech,1466/16/22/1903/783/1465,0.86932945
1816,Wong Luen Hei,1.959447947,2.207432,0.40851173,-0.19700754,0.007403037968952504,0.016381527268280686,-0.0,Building materials,1536/2815/992/1599/2791,1.0213703
1817,Yusuf Hamied,1.959447947,0.7156483,0.50030714,-0.014001444,-0.02666147232359638,0.004602562923947625,0.0,healthcare/pharmaceuticals,94/3209/139/1817,1.4115231
1818,Steven Witkoff & family,1.959447947,-1.2736299,0.40314758,0.65384793,-0.010370822690230454,-0.021524277049290132,0.0,real estate,114/1111/1966,1.6829958
1819,Guo Guangchang,1.959447947,0.36149362,0.61976576,-0.4784616,-0.028885542719603707,-0.02017682055980098,0.0,Diversified,36/1650/20,0.8902763
1820,Liu Chengyu & family,1.959447947,0.8965141,0.54970056,-0.13742286,0.0,0.0,0.0,Power supply equipment,,0.74084055
1821,Pavel Baudis,1.959447947,-1.4482081,0.67614615,-1.2028306,-0.012714326047941319,-0.016086869772124222,0.0,software/cloud,2674/470/509/2851,1.5939332
1822,Liang Qin & family,1.959447947,1.3341508,0.9888873,-1.3980296,0.0,0.0,0.0,semiconductors/hardware,,1.2610606
1823,Drorit Wertheim,1.959447947,-0.26292145,1.1569422,2.0079894,-0.02612608306909453,-0.00413170418055161,0.0,Coca Cola Israel,1064/62/1099,0.64330167
1824,Du Jinhao,1.959447947,0.881449,0.22000408,-0.24109715,0.00902153663604507,0.029542893290354314,-0.0,healthcare/pharmaceuticals,1128/94/337/455/253/139,1.4115231
1825,Heikki Kyostila,1.959447947,0.012201428,1.9898204,1.1798259,0.0,0.0,0.0,Dental products,,0.7760571
