ID,Name,NetWorth_Billions,x,y,z,vx,vy,vz,industries,connections,velocity_mode,velocity_scale,hue color value
1539,Zahan Mistry,2.385414892,0.7452109,0.29051653,0.10930116,-0.016198617513389076,-0.012641573650907536,-0.012329283586141632,Diversified,169/466/768,radial,0.05,0.8902763
1540,Frank Slootman,2.385414892,-1.0362943,0.948223,-1.475893,0.0014322456263433758,0.013650361862707846,0.016000893810800703,software/cloud,3317/3366/266/710,radial,0.05,1.5939332
1541,David Booth,2.385414892,-1.5999994,0.7177441,-0.49246863,0.01517527869360263,-0.0006398817985193037,0.004957064709980776,Mutual funds,781/1634/3126,radial,0.05,0.44479728
1542,Christian Latouche & family,2.385414892,-0.04931193,1.3718896,0.66255355,0.0,0.0,0.0,Accounting services,,radial,0.05,1.598681
1543,Manohar Lal Agarwal,2.385414892,2.1579533,0.58608675,0.44451162,-0.007280527096008204,0.008416985180418675,-0.012459807163949352,Snacks,2404/1315/1308/2040,radial,0.05,1.1031849
1544,Herb Chambers,2.385414892,-1.1888974,0.54257894,0.3894719,0.017189475529955638,0.0045124128408294065,-0.004723049596676175,Car dealerships,819/2684/2233/899,radial,0.05,0.53390014
1545,Jayme Garfinkel & family,2.385414892,-1.2382487,-0.4439913,0.6098651,0.013415533402434964,0.013734021155072194,-0.0056047004874712906,Insurance,579/390/3032,radial,0.05,2.050591
1546,Joseph Edelman,2.300221503,-1.0915718,0.4923678,-0.09974751,0.012629355862916839,0.0013267099148163417,0.0319837762073045,hedge funds/finance,115/34/70/120,radial,0.05,1.5244248
1547,Pham Thuy Hang,2.300221503,0.8540309,0.12853065,0.05779329,-0.014285889605573239,0.003017082251118844,0.03128969137088296,Diversified,20/60/1115,radial,0.05,0.8902763
1548,Gabriele Gebauer,2.300221503,0.4356767,1.2217206,1.0714957,0.0013640326236869617,-0.004371083933382918,-0.006715217715606667,social media,3134/3128,radial,0.05,0.8246172
1549,Jennifer Pritzker,2.300221503,-1.0497506,1.465406,-0.24584162,-0.007141727408445936,-0.017049019856195943,0.015746939490442213,investment/finance,523/1940/996/525/735/925,radial,0.05,1.5244248
1550,M.Satyanarayana Reddy,2.300221503,0.8725028,-0.014887914,-0.032109708,-0.02021002194531133,0.0232705177028559,-0.0020515082383138357,healthcare/pharmaceuticals,1128/94/337/455/253/139,radial,0.05,1.4115231
1551,Mortimer Zuckerman,2.300221503,-0.8165546,1.2065775,0.11420752,0.013382398325207432,-0.013825199590234118,-0.030548231103872746,real estate/media/entertainment,67/13,radial,0.05,0.471399
1552,George Joseph,2.300221503,-1.0663205,0.7109895,-0.53624755,0.002212100710711719,0.006784392881211656,0.016614232949738687,Insurance,579/988/2443,radial,0.05,2.050591
1553,Jin Baofang,2.300221503,0.6418644,0.5445806,-0.18013477,-0.004730579083808613,-0.0066731839321247,0.010114435416913021,Solar panels,2505/3034/2617/2621,radial,0.05,1.2143617
1554,Ranjan Pai,2.300221503,1.7687082,0.49637127,-0.056895703,-0.01812114110502957,-0.008149758494816656,0.0006103259359661226,healthcare,169,radial,0.05,2.0075605
1555,Farhad Moshiri,2.300221503,-0.20802313,0.40202907,0.75329584,0.032018613972843765,-0.004016242912409148,-0.009084544133503904,Diversified,208/578/3379/20,radial,0.05,0.8902763
1556,Fred Ehrsam,2.300221503,-0.6417577,1.0209916,-0.42035276,0.02249017580826977,-0.0027724831549353,0.02615387690468269,social media/cryptocurrency/fintech,345/16/2203/375,radial,0.05,2.003768
1557,Hal Jackman,2.300221503,-0.8260101,1.071218,0.44522542,-0.011442050674269415,-0.0048968161550975485,-0.01034416853731161,investment/finance,564/1636,radial,0.05,1.5244248
1558,Ma Bin & family,2.300221503,0.78092337,0.94016576,-0.22438613,0.013943002453656261,-0.017703419445189078,-0.012042763136352694,manufacturing,312/1890/920/533/2015/302,radial,0.05,1.0055193
1559,Zhang Xingang,2.300221503,-0.72340626,0.85346913,-0.7320914,0.026765804834463284,0.018238079953889624,-0.021461081219218598,semiconductors/hardware,656/50/6/1577,radial,0.05,1.2610606
1560,Tran Dinh Long,2.300221503,1.7488625,0.18778047,0.08320016,-0.0239154505751915,0.019839345618329576,0.005488976064212409,mining/materials,1183/1038/80/1403/56/371,radial,0.05,0.8420775
1561,Selçuk Bayraktar,2.300221503,-0.011490881,1.1795917,1.1924403,0.007519599747000075,-0.0014442823478759126,-0.002725945132186028,Military drones,1730,radial,0.05,1.502516
1562,Gu Wei,2.300221503,1.7879133,0.25824237,-1.1988443,0.0,0.0,0.0,Consumer electronics,,radial,0.05,1.7395945
1563,Bidzina Ivanishvili & family,2.300221503,0.34144163,0.68368024,0.6281669,-0.01699587162188148,-0.004091315706004003,-0.02273574448557029,investment/finance,3021/406/1142/1420/49/2553,radial,0.05,1.5244248
1564,Wang Changtian,2.300221503,1.3747289,1.3944253,-0.16536349,-0.015653468903258368,-0.019375414615063747,-0.004335623205617856,media/entertainment,239/1650/2763/264/499,radial,0.05,1.8096282
1565,Alex Beard,2.300221503,-1.123433,0.7322246,0.5223353,0.021599625615985066,-0.009726328042113177,-0.005130243370371631,mining/materials,950/791/1020/210/1423,radial,0.05,0.8420775
1566,Michael Hintze,2.300221503,-1.052705,1.3503667,0.2692119,0.013066405090489284,-0.017161986019946295,-0.014399868617619766,investment/finance,1655/1107/336/470/509/458,radial,0.05,1.5244248
1567,Jeff Sutton,2.300221503,-0.83342344,1.1319245,0.2875193,0.015692666618702496,-0.015881776093436585,-0.008506342826326922,real estate,114/1111/1966,radial,0.05,1.6829958
1568,Sara George Muthoot,2.300221503,0.59108,0.11886117,0.10802674,-0.01288541360455168,0.00981336887394821,-0.009016855070043583,finance,746/1571/1569/1570,radial,0.05,1.5244248
1569,George Jacob Muthoot,2.300221503,0.5054944,0.07540639,-0.33899653,-0.0014417126361875485,0.006260634453435202,0.017388665523433045,finance,746/1571/1570/1568,radial,0.05,1.5244248
1570,George Thomas Muthoot,2.300221503,0.5337904,0.11565985,0.2939117,-0.003770497361966855,0.0058831768189894825,-0.01717007128496028,finance,746/1571/1569/1568,radial,0.05,1.5244248
1571,George Alexander Muthoot,2.300221503,0.16215117,0.40603662,0.42739087,0.010630564337648194,-0.0067548657572830935,-0.013601568227043472,finance,746/1569/1570/1568,radial,0.05,1.5244248
1572,Wee Ee Cheong,2.300221503,0.7735213,0.21404873,-0.44131488,0.0026585644880008745,-0.009493855044262997,0.009920525852592255,finance,2002/1712/3286/3287,radial,0.05,1.5244248
1573,Li Gaiteng,2.300221503,0.8585202,0.44934994,-0.7075696,0.0,0.0,0.0,ai/software,,radial,0.05,1.2647958
1574,Reid Hoffman,2.300221503,-0.8318373,0.432595,-0.21712315,-0.005160037905789105,0.046541688223210795,-0.016572550154989926,social media/software,0/5/87,radial,0.05,1.2647958
1575,Stephan Crétier,2.300221503,1.824577,0.97791487,0.46337914,0.0,0.0,0.0,Private security,,radial,0.05,1.6147604
1576,Wu Lanlan & family,2.300221503,1.0052805,0.46336314,-0.89025056,-0.024704452660850758,0.0018005185261253283,0.011433672653555101,Packaging,271/349/1199/272/273,radial,0.05,1.9427488
