ID,Name,NetWorth,x,y,z,industries,connections,hue color value
152,Yuan Fugen & family,15845970353,0.8878125,0.38124645,-0.2507609,social media/advertising/ai,,1.3075284
153,James Ratcliffe,15675583575,-0.6980668,0.5759374,-0.08234151,Chemicals,674/123/678/1881/2735,1.6866118
154,Georg Schaeffler,15505196797,0.3257662,0.4374332,0.4673423,Auto parts,2104/879/198/599/320,0.8197709
155,Ludwig Merckle,15334810019,0.13120633,0.7355089,0.36024034,healthcare/pharmaceuticals,1128/94/455/139,1.4115231
156,Edwin Chen,15334810019,-1.088191,1.1967573,0.90359604,semiconductors/ai/software,1340/554/555/557/553/2730/559/558,0.7535922
157,Eric Smidt,15249616630,-1.1667969,0.54707325,0.80404484,retail,,0.59320146
158,Adam Foroughi,15079229852,-0.65279704,0.62708116,-0.77824223,advertising technology,693/1127/575/1471/400,0.8378646
159,Karl Albrecht Jr. & family,14994036463,-0.10109277,1.0356327,1.4497447,retail,160/293/2003/1380,0.59320146
160,Beate Heister,14994036463,0.14282149,0.96701396,1.5021814,retail,293/2003/667/159/1380/663,0.59320146
161,Charles Ergen,14908843074,-1.5286934,0.98030305,-0.07171735,media/entertainment,326/515/1286,1.8096282
162,John Collison,14908843074,-0.45626014,0.73757386,-0.2669692,software/cloud,2788/67/1858/163/13,1.5939332
163,Patrick Collison,14908843074,-0.4818229,0.6465076,-0.35822225,software/cloud,25/1185/162/1577,1.5939332
164,Nathan Kirsh,14738456296,-0.5047954,0.4022839,-0.2113978,ai/software/retail/real estate,210/1257/1635/571/364/403,1.2647958
165,Stephen Ross,14482876129,-1.343128,0.27462927,0.6493055,real estate,114/1111/1966,1.6829958
166,Jan Koum,14397682740,-1.1485292,1.0491227,-1.1264415,messaging/social media/software/enterprise software,1198/67/5/87,0.8246172
167,Arthur Dantchik,14397682740,-0.7356272,0.4202592,0.056416035,investment/finance,28/730/1424,1.5244248
168,Anders Holch Povlsen,14312489351,-0.051490307,0.92795813,0.56334215,ai/software/retail/luxury/fashion,2113/3400/3185,1.2647958
169,Radhakishan Damani,14227295962,0.7429683,0.03505747,-0.022348449,ai/software/retail/investment/finance,910/169/768,1.2647958
170,Wang Laisheng,14142102573,1.632446,1.3296211,-0.15988827,Electronics components,1806/1652/177/720,1.7377203
171,Enrique Razon Jr.,14142102573,1.8768446,0.89851415,-0.7311731,logistics/shipping,,0.7081293
172,Sarath Ratanavadi,14142102573,1.7643709,0.06688142,-0.05668442,energy/oil and gas,1290/1230/1097/829/2299,1.2296851
173,Theo Albrecht Jr & family,14056909184,-0.07961349,0.71147805,1.0658913,retail/supermarkets,159,1.248654
174,Wang Wei,14056909184,0.90253365,0.41052103,-0.44512254,Package delivery,3307/1585/3107/724,1.1398789
175,Low Tuck Kwong,13971715795,0.8694556,-0.19081126,-0.037550986,mining/materials,1431,0.8420775
176,Mikhail Fridman,13971715795,0.5477521,0.65458363,0.4127232,telecom/finance/energy/oil and gas,432/2788/314/3365/838,1.5244248
177,Wang Laichun,13886522406,1.7183473,0.33019888,-1.0861032,Electronics components,1806/1652/170/720,1.7377203
178,R. Budi Hartono,13886522406,0.8747613,-0.19005299,-0.14535393,finance,285/2473,1.5244248
179,Peter Mallouk,13716135628,-0.95351684,0.70371157,-0.18111964,Wealth planning,,1.5058796
180,Abdulsamad Rabiu,13630942239,0.33794832,0.27371216,1.6538416,construction/materials,72,0.8420775
181,Edward Johnson IV,13545748850,-0.9579986,0.66212994,0.2329903,finance/asset management,47/1637/211,1.4860582
182,John Menard Jr,13545748850,-0.84353876,0.63704395,0.00091606565,retail,,0.59320146
183,George Kaiser,13545748850,-0.7169806,0.5839067,0.08528755,finance/energy/oil and gas,67/13/967,1.1103568
184,Barry Lam,13460555461,1.6258179,0.28886926,-1.2007322,Electronics,194/1156/225/187,0.9184684
185,Johann Rupert & family,13375362072,0.3085342,-0.33005577,0.6430985,social media/luxury/fashion/retail,91/1073/2265/1070,0.3671407
186,Peter Woo,13204975294,1.3939102,0.2134799,-0.3908743,real estate,940/629,1.6829958
187,Terry Gou,13204975294,1.9587735,0.45876867,-0.50625575,Electronics,184/194/1156/1512/225,0.9184684
188,Wang Liping & family,13204975294,0.4995357,0.48524514,-0.15030669,Hydraulic machinery,,1.2629547
189,Jack Dangermond,13204975294,-1.5936284,0.65457,-0.9167305,software/cloud,67/13,1.5939332
190,Charlene de Carvalho-Heineken & family,13119781905,-0.3497461,0.61249506,0.13516825,beverages/alcohol,18,0.64228606
191,Friedhelm Loh,13119781905,-0.31645384,1.6806045,1.4026083,Manufacturing,312/1890/920/533/2015/302,0.6835843
192,Ray Dalio,13119781905,-1.0620949,0.51739776,-0.060560495,hedge funds/finance,3139/115/452/34/120/70,1.5244248
193,Hussain Sajwani,13034588516,0.7234776,0.72708833,1.0827485,real estate,114/1111/1966,1.6829958
194,Bruce Cheng,13034588516,1.6368245,0.26073772,-1.2079315,Electronics,184/1156/1512/225/187,0.9184684
195,James Dyson,12949395127,0.72725123,0.13651982,-0.10433684,Vacuums,,0.7100592
196,Li Shuirong & family,12864201738,1.6335919,1.0525155,-0.6926062,energy/oil and gas,2445/739/408/2841,1.2296851
197,Zhou Qunfei & family,12864201738,1.2126596,0.12649283,-0.10394606,Smartphone screens,1041,0.7595706
198,Shahid Khan,12864201738,-0.9947506,0.57535267,0.14210856,logistics/shipping/sports/entertainment,4/2203/3396/3052,0.7081293
