Name,NetWorth_Billions,X,Y,Z,ForceBasedOnAge
Denise Prenosil,1.093117,-0.5409792,0.47137356,0.09568637,0.2777778
Don Hankey,8.1519,-0.49548107,0.4002077,-0.2324927,0.08888889
Lucy Guo,1.4474,-0.45130038,0.34622532,-0.24242856,0.65555555
Brad Jacobs,15.951943,-0.8928954,0.8097395,0.26231092,0.23333333
Filippo Ghirelli,1.55823,0.063952126,0.47375143,0.49096093,0.5
Stefan Quandt,28.132859,0.058175344,0.46106368,0.3808797,0.34444445
Lee Sang-hoon,1.487827,0.3794715,0.36536208,-0.28572816,0.31111112
Xu Xudong & family,1.443931,0.6059808,0.40853336,-0.37206474,0.3888889
James Cameron,1.1,0.052264493,-0.5040161,-0.5715959,0.21111111
William Ackman,9.019519,-0.53200406,0.47626278,0.15248947,0.34444445
Robin Khuda,2.092287,0.3063392,-0.42687666,-0.5573976,0.4888889
Kochouseph Chittilappilly,1.185764,0.61733854,0.111373015,0.15094523,0.16666667
Stephan Crétier,2.697055,0.5145374,0.2928321,0.3561589,0.31111112
Igor Olenicoff,8.000048,-0.53089744,0.2660769,0.092777655,0.07777778
Abbas Sajwani,1.874249,0.4476175,0.25474685,0.3098375,0.7111111
Steven Tisch,2.195267,-0.57835835,0.4447129,-0.3127223,0.15555556
Vitali Machitski & family,1.572559,0.2607853,0.6275733,0.3384459,0.21111111
Marius Nacht,1.810321,0.29627603,0.3255687,0.4265933,0.34444445
Alexander Rakshin & family,1.407245,0.51401067,0.6952406,0.0563331,0.17777778
Martin Lorentzon,11.234285,0.097858265,0.5320047,0.29995257,0.37777779
Dorle Hager,1.22758,0.11240243,0.62576926,0.5513126,0.32222223
Liu Yongxing,11.214423,0.6095416,0.43313596,-0.37291482,0.14444445
Laurence Escalante,1.145382,0.54373527,-0.37687624,-0.26357105,0.51111114
Thierry Dassault,8.852938,0.022532832,0.62922406,0.5493472,0.24444444
Amelie Voigt Trejes,1.025637,-0.54358476,-0.37909278,0.48009172,0.7777778
Lei Jufang,1.824352,0.6022648,0.4515981,-0.14837529,0.2
Luciano Hang,2.268058,-0.58013827,-0.39384645,0.5058587,0.3
Peter Gilgan,6.870888,-0.42969322,0.41784808,0.08042578,0.17777778
Christopher Kwok,2.31585,0.5074038,0.22786017,-0.227767,0.56666666
Pauline MacMillan Keinath,9.455339,-0.53355813,0.42635316,-0.0018428924,0
Cai Hongbin,1.078139,0.5512249,0.43566287,-0.3082664,0
Surin Upatkoon,1.535644,0.6127486,0.03433913,-0.12674369,0.15555556
Huang Dawen,1.753626,0.6685625,0.3002318,-0.30010906,0.2777778
Min Kao & family,7.402457,-0.5198971,0.42187336,-0.04198434,0.15555556
Ricardo Villela Marino,1.642223,-0.38962665,-0.23355836,0.36798674,0.43333334
Mofatraj Munot,1.388802,0.54288876,0.19640349,0.16719498,0.1
Safra Catz,2.907071,-0.5422526,0.26989233,0.09421519,0.2888889
Laurene Powell Jobs,13.532799,-0.43633738,0.39459306,-0.27417037,0.31111112
Ernest Garcia III,9.473754,-0.6729962,0.47974065,-0.27291957,0.5222222
Gerry Harvey,3.550299,0.22468995,-0.3131003,-0.40883318,0.044444446
Kenneth Hao,2.454,-0.4145665,0.36692175,0.11398212,0.36666667
Law Kar Po,9.352968,0.5074038,0.22786017,-0.227767,0.14444445
Kwek Leng Kee,2.803997,0.81109136,0.018807491,-0.19997516,0.22222222
Henry Engelhardt,1.572404,-0.022206113,0.5028928,0.3996893,0.25555557
Madhukar Parekh,3.098304,0.59970236,0.21695721,0.18469203,0.13333334
Kelcy Warren,7.780731,-0.73911446,0.47939715,-0.08822165,0.22222222
G. Rajendran,2.060979,0.5515812,0.13010149,0.094496444,0.07777778
Mark Pincus,1.427299,-0.5873519,0.5392252,-0.37302384,0.34444445
Julian Baker,3.392591,-0.46190867,0.4135117,0.13239788,0.34444445
Bharat Desai,1.557,-0.7196631,0.35248807,0.12499699,0.18888889
Narendrakumar Parekh,2.130523,0.59970236,0.21695721,0.18469203,0.033333335
Gordon Wu,2.218587,0.5074038,0.22786017,-0.227767,0
Xie Liangzhi & family,2.45854,0.46468604,0.43388045,-0.23064399,0.34444445
Hasso Plattner & family,13.364994,0.060267787,0.46547922,0.39427555,0.1
Olivier Pomel,2.825686,-0.5158326,0.4617857,0.14785421,0.46666667
Jose Roberto Ermirio de Moraes,1.425516,-0.5568958,-0.33382642,0.5259658,0.24444444
A. Jayson Adair,1.481162,-0.5394733,0.34990785,-0.064392224,0.37777779
Juan Maria Riberas Mera,1.599579,-0.030015655,0.3958068,0.46382976,0.36666667
Weng Xianding,1.536409,0.5980227,0.27190536,-0.26711157,0.2888889
Eduardo Hochschild,4.789052,-0.58242184,-0.1275105,0.13416083,0.31111112
Deepak Mehta,1.087247,0.5180839,0.22193898,0.15633862,0.23333333
Uday Kotak,13.421639,0.5280458,0.19103366,0.16262375,0.26666668
Guillaume Pousaz,7.823,-0.0011763432,0.67430514,0.53620195,0.51111114
Hajime Satomi,1.334562,0.38966736,0.43267316,-0.4593456,0.07777778
Mikhail Lomtadze,6.01787,0.6111728,0.5903203,0.14209512,0.44444445
Barry Diller,5.132641,-0.5677493,0.5082628,0.16273522,0.07777778
Guilherme Benchimol,2.024392,-0.52010816,-0.32115155,0.5542039,0.45555556
T.S. Kalyanaraman,2.390341,0.6995963,0.1337241,0.17162104,0.13333334
Tan Yu Yeh,1.514001,0.55010086,0.03283134,-0.10942188,0.4
Jed McCaleb,3.909,-0.38034105,0.34982774,-0.24018893,0.44444445
Jitendra Virwani,2.109083,0.5720307,0.13491878,0.12583506,0.34444445
Qin Long,1.239363,0.46873719,0.39570507,-0.27479103,0.33333334
George Argyros & family,3.071993,-0.6316334,0.4753174,-0.33484206,0.022222223
Michael Polsky,2.479,-0.46501976,0.4168573,0.019083606,0.15555556
Nathan Blecharczyk,8.84763,-0.5372756,0.4932521,-0.34122065,0.53333336
Yeh Kuo-I,1.752174,0.7297836,0.41905665,-0.3120321,0.06666667
Bertil Hult,2.6274,0.06324928,0.47032675,0.4332192,0.06666667
Zbigniew Juroszek & family,1.855494,0.13451138,0.49734983,0.39895287,0.3
Jon Yarbrough,5.444384,-0.54108727,0.45680818,0.06644875,0.24444444
Eugene Wu,2.599835,0.69238967,0.37969077,-0.42473608,0.11111111
Pang Kang,8.872796,0.48394138,0.22366977,-0.2067331,0.23333333
Wang Mingwang,1.404204,0.6886041,0.31309035,-0.3075705,0.35555556
