ID,Name,NetWorth,x,y,z,sector or company,industries,connections,Age,Source_or_company_extended,Philanthropy_Score,Self_Made_Score,Citizenship,Marital_Status,Children,connection_names_matched,is_valid,connection_count,vx,vy,vz,velocity_strength,NetWorth_Billions
974,Bernard Fraisse & family,3748509116.0,-0.19856447,0.691664,0.44089076,Pharmaceuticals,healthcare/pharmaceuticals,1128/94/337/455/253/139,69.0,Pharmaceuticals/ Self Made,,,France,,,Dennis Bastas/Dilip Shanghvi/Murali Divi & family/Pankaj Patel/Sun Piaoyang/Zhong Huijuan,True,6,0.03363173761831897,-0.015454327050751202,-0.022902297609688885,0.043525225279391636,3.748509116
975,Lin Jianhua,3748509116.0,0.8424125,0.2652529,-0.21000013,Solar panel components,Solar panel components,,63.0,Solar panel components/ Self Made,,,China,Married,,,True,0,-0.003852293261316929,-0.0013798193089747883,0.0028733143412081642,0.004999999999999999,3.748509116
976,Gustav Magnar Witzoe,3748509116.0,0.60920674,0.26011908,-0.2236172,Fish farming,Fish farming,378/135/128,33.0,Fish farming,,,Norway,Single,,Carl Bennet/Eric Li/Stefan Persson,True,3,-0.013816969128666421,0.03125219227891428,0.006430119786705265,0.03477002442639534,3.748509116
977,Hamilton James & family,3748509116.0,-0.8516973,0.5369754,0.20428957,Investments,investment/finance,1392/436/49,74.0,Investments/ Self Made,2.0,6.0,United States,Married,3.0,J. Tomilson Hill/Jonathan Gray/Stephen Schwarzman,True,3,0.02484627713297242,0.0236783371478973,-0.016717372568927524,0.03817684747417329,3.748509116
978,Alexandre Van Damme,3748509116.0,1.7280376,0.056167036,-0.047459275,ABInBev,ABInBev,1065/1990/921/376/2985,63.0,ABInBev,,,Belgium,Married,,Alejandro Santo Domingo/Andres Santo Domingo/Beatriz Davila de Santo Domingo/Maria Asuncion Aramburuzabala & family/Vera Rechulski Santo Domingo,True,5,-0.04346665988210872,0.015889644324345278,-0.00684027147535754,0.04678269585987652,3.748509116
979,Donald Sterling,3748509116.0,-0.9662473,0.806851,-0.6333295,Real estate,real estate,114/1111/1966/1266,92.0,Real estate/ Self Made,1.0,8.0,United States,Married,3.0,Harry Triguboff/Kwek Leng Beng/Manuel Villar/Waleed Mohammad Al Zaabi,True,4,0.03963188605507605,-0.026292390037945052,0.002280403383439561,0.04761487588749094,3.748509116
980,Julio Ponce Lerou,3748509116.0,-1.227964,-0.5492212,0.4836792,Fertilizer,Fertilizer,1122/590/745,80.0,Fertilizer/ Self Made,,,Chile,Divorced,1.0,Alceu Elias Feldmann & family/Dmitry Rybolovlev & family/Xiao Yongming & family,True,3,0.03352172363567365,0.021807558787597728,0.004984307611211907,0.04030035853617431,3.748509116
981,Maurizio Billi,3748509116.0,-1.3193536,-0.60061,1.299919,Generic drugs,Generic drugs,2361,68.0,Generic drugs,,,Brazil,Married,,Carlos Sanchez,True,1,0.037147380747063585,-0.021994707020134036,0.025225086059935578,0.05,3.748509116
982,Winifred J. Marquart,3748509116.0,-0.66443,0.6628907,-0.05172226,Cleaning products,Cleaning products,985/966/335/989,67.0,Cleaning products,2.0,2.0,United States,Married,4.0,H. Fisk Johnson/Helen Johnson-Leipold/Robert F. Smith/S. Curtis Johnson,True,4,-0.017373099404100586,-0.0002352462531204881,0.017390628592033757,0.02458279655634056,3.748509116
983,Wang Jianlin,3748509116.0,0.9469643,0.9755268,-0.37850994,Real estate,real estate,114/1111/2680/1966/264,71.0,Real estate/ Self Made,,,China,Married,1.0,Harry Triguboff/Kwek Leng Beng/Lu Lili/Manuel Villar/Qi Shi & family,True,5,-0.010591435500426575,-0.04476836272058777,-0.002494297754915737,0.04607175195205828,3.748509116
